Instrument,Preset,Family,Role,WhyLocked,RiskFocus,UseInPhase
Contrebasse,Pizzicato Jazz,acoustic,organic-foundation,Baseline acoustic utility bass without extreme FX,attack articulation and body truth,phase1-2
Contrebasse,Warm Pad Bass,acoustic,texture-bass,Stress case with long tail and broad energy,grave blur and preset honesty,phase3
Basse Fingered,Groove Motown,acoustic,organic-foundation,Reference for round electric utility bass,center tonal clarity and mix placement,phase1-3
Basse Fingered,Fingered Sub Heavy,acoustic,sub-foundation,Checks low-end reinforcement inside non-808 family,false sub and mix masking,phase1-3
Basse Slap,Slap Classique,acoustic,transient-bass,Reference for attack definition,repeated notes and transient readability,phase1-2
Sub 808,Sub Pur,808,sub-foundation,Primary ground-truth preset for low-end correction,true sub octave and mono stability,phase1
Sub 808,Sub Mono Glide,808,sub-foundation,Reference for monophonic glide behavior,glide truth and pitch center,phase1-2
Boom 808,Boom Film Score,808,sub-foundation,Longer tail stress case for arrangement safety,kick overlap and tail control,phase1-3
Distorted 808,Distort Ambient,808,character-bass,Checks how harmonic enhancement affects pitch perception,pseudo-false bass and mix blur,phase1-3
Moog Bass,Warm Classic,synth,character-bass,Utility synth bass reference for filter articulation,brightness/filter coupling,phase2-3
Reese Bass,Reese Pad Lush,synth,texture-bass,Stress case for detune identity and width,mono compatibility and low-mid blur,phase2-3
Acid Bass,Acid Sustain,synth,character-bass,Reference for resonance and articulation quality,filter behavior and melodic readability,phase2-3
